code,name,market,type
0GTRY,0GTRY,binance,Crypto
ADABIDR,ADABIDR,binance,Crypto
ALICEBIDR,ALICEBIDR,binance,Crypto
AVAXBIDR,AVAXBIDR,binance,Crypto
AVNTTRY,AVNTTRY,binance,Crypto
AXSBIDR,AXSBIDR,binance,Crypto
BARDTRY,BARDTRY,binance,Crypto
BNBBIDR,BNBBIDR,binance,Crypto
BNBUSDT,BNBUSDT,binance,Crypto
BTCBIDR,BTCBIDR,binance,Crypto
BTCFDUSD,BTCFDUSD,binance,Crypto
BTCJPY,BTCJPY,binance,Crypto
BTCNGN,BTCNGN,binance,Crypto
BTCUSDT,BTCUSDT,binance,Crypto
BUSDBIDR,BUSDBIDR,binance,Crypto
DOGEBIDR,DOGEBIDR,binance,Crypto
DOTBIDR,DOTBIDR,binance,Crypto
ETHBIDR,ETHBIDR,binance,Crypto
ETHFDUSD,ETHFDUSD,binance,Crypto
ETHJPY,ETHJPY,binance,Crypto
ETHTRY,ETHTRY,binance,Crypto
ETHUSDT,ETHUSDT,binance,Crypto
FDUSDUSDT,FDUSDUSDT,binance,Crypto
FTMBIDR,FTMBIDR,binance,Crypto
HEMITRY,HEMITRY,binance,Crypto
LINEATRY,LINEATRY,binance,Crypto
LINEAUSDT,LINEAUSDT,binance,Crypto
MANABIDR,MANABIDR,binance,Crypto
MATICBIDR,MATICBIDR,binance,Crypto
NBTBIDR,NBTBIDR,binance,Crypto
SANDBIDR,SANDBIDR,binance,Crypto
SIGNTRY,SIGNTRY,binance,Crypto
SLFTRY,SLFTRY,binance,Crypto
SLPBIDR,SLPBIDR,binance,Crypto
SOLBIDR,SOLBIDR,binance,Crypto
SOLFDUSD,SOLFDUSD,binance,Crypto
SOLUSDT,SOLUSDT,binance,Crypto
TKOBIDR,TKOBIDR,binance,Crypto
USDCTRY,USDCTRY,binance,Crypto
USDCUSDT,USDCUSDT,binance,Crypto
USDEUSDT,USDEUSDT,binance,Crypto
USDTARS,USDTARS,binance,Crypto
USDTBIDR,USDTBIDR,binance,Crypto
USDTCOP,USDTCOP,binance,Crypto
USDTIDRT,USDTIDRT,binance,Crypto
USDTNGN,USDTNGN,binance,Crypto
USDTTRY,USDTTRY,binance,Crypto
XRPBIDR,XRPBIDR,binance,Crypto
XRPJPY,XRPJPY,binance,Crypto
XRPUSDC,XRPUSDC,binance,Crypto
ZILBIDR,ZILBIDR,binance,Crypto
BNB-USDT,BNB-USDT,okx,Crypto
BTC-USDT,BTC-USDT,okx,Crypto
ETH-USDT,ETH-USDT,okx,Crypto